"variation","mrr","first_mrr"
"hpttgswhlopta","0.00000",35.1944
"hpttgswhlopta",29,29
"hpttgswhloptb",143.2048,71.6024
"hpttgswhlopta",644.4216,429.6144
"hpttgswhloptb","0.00000",36.408
"hpttgswhloptb","0.00000",15
"hpttgswhloptb",29,29
"hpttgswhloptb",261,203
"hpttgswhloptb",49.8,24.9
"hpttgswhloptb",68,15
"hpttgswhlopta",20.5965,20.5965
"hpttgswhlopta",15,15
"hpttgswhloptb",29,29
"hpttgswhlopta",45,45
"hpttgswhlopta","0.00000",70.3888
"hpttgswhlopta","0.00000",15
"hpttgswhlopta",74.7,24.9
"hpttgswhloptb",118,118
"hpttgswhloptb","0.00000",29
"hpttgswhloptb","0.00000",35.1944
"hpttgswhlopta",60,15
"hpttgswhlopta","0.00000",145
"hpttgswhlopta","0.00000",15
"hpttgswhlopta","0.00000",15
"hpttgswhlopta",18.204,18.204
"hpttgswhlopta",54,15
"hpttgswhloptb",1003,1003
"hpttgswhlopta",30.34,30.34
"hpttgswhloptb",12.5,12.5
"hpttgswhloptb","0.00000",18.204
"hpttgswhloptb",25,25
"hpttgswhloptb","0.00000",59
"hpttgswhloptb",91.02,18.204
"hpttgswhloptb","0.00000",216
"hpttgswhloptb",12.5,12.5
"hpttgswhloptb",35.1944,35.1944
"hpttgswhloptb",24.9,24.9
"hpttgswhlopta",29,29
"hpttgswhloptb",18.204,18.204
"hpttgswhlopta",281.5552,211.1664
"hpttgswhloptb",41.193,41.193
"hpttgswhloptb","0.00000",59
"hpttgswhlopta","0.00000",45
"hpttgswhlopta",29,29
"hpttgswhlopta","0.00000",29
"hpttgswhloptb",119.4597,79.6398
"hpttgswhlopta",29,29
"hpttgswhloptb",31.85592,39.8199
"hpttgswhloptb","0.00000",36.408
"hpttgswhloptb",82.5248,35.1944
"hpttgswhlopta",29,29
"hpttgswhloptb",319,232
"hpttgswhloptb","0.00000",29
"hpttgswhlopta",29,29
"hpttgswhlopta",29,29
"hpttgswhlopta",282,249.5
"hpttgswhlopta",30,15
"hpttgswhlopta",15.17,15.17
"hpttgswhlopta",71.6024,71.6024
"hpttgswhloptb",242.23456,181.67592
"hpttgswhlopta",54.612,175.972
"hpttgswhloptb",59,59
"hpttgswhloptb",275,58
"hpttgswhloptb",70.3888,70.3888
"hpttgswhlopta",99.6,24.9
"hpttgswhlopta",126,126
"hpttgswhlopta",59,59
"hpttgswhlopta",145,29
"hpttgswhloptb",316.7496,246.3608
"hpttgswhloptb",20.5965,81.0129
"hpttgswhlopta",18.204,18.204
"hpttgswhloptb",281.5552,35.1944
"hpttgswhlopta","0.00000",15
"hpttgswhlopta",90,90
"hpttgswhlopta","0.00000",15
"hpttgswhloptb",105.5832,105.5832
"hpttgswhlopta",174,232
"hpttgswhloptb","0.00000",71.6024
"hpttgswhloptb","0.00000",30
"hpttgswhloptb",333.74,70.3888
"hpttgswhloptb",60.43728,15.17
"hpttgswhlopta",190.5352,71.6024
"hpttgswhloptb",60,59
"hpttgswhloptb","0.00000",15
"hpttgswhlopta",143.2048,71.6024
"hpttgswhloptb",118,118
"hpttgswhlopta",334,334
"hpttgswhlopta","0.00000",71.6024
"hpttgswhloptb",39.8199,20.5965
"hpttgswhlopta",143.2048,429.6144
"hpttgswhlopta",127.428,127.428
"hpttgswhloptb",71.6024,71.6024
"hpttgswhlopta",119.4597,79.6398
"hpttgswhlopta",59,59
"hpttgswhloptb",145.632,54.612
"hpttgswhloptb",18.204,18.204
"hpttgswhloptb",59,59
"hpttgswhloptb","0.00000",36.408
"hpttgswhloptb",145,203
"hpttgswhlopta","0.00000",18.204
"hpttgswhlopta",15,15
"hpttgswhloptb",101.9424,83.7384
"hpttgswhloptb",60,45
"hpttgswhloptb",293.6912,35.1944
"hpttgswhlopta",58,29
"hpttgswhloptb",118,118
"hpttgswhlopta",98,98
"hpttgswhlopta",213,116
"hpttgswhloptb","0.00000",59
"hpttgswhlopta",24.9,24.9
"hpttgswhlopta",120,60
"hpttgswhloptb",35.1944,35.1944
"hpttgswhloptb",133.1907,133.1907
"hpttgswhloptb",15,15
"hpttgswhloptb",71.6024,71.6024
"hpttgswhloptb",18.204,18.204
"hpttgswhlopta","0.00000",118
"hpttgswhlopta",15,15
"hpttgswhloptb",118,118
"hpttgswhloptb",15,15
"hpttgswhlopta","0.00000",91.02
"hpttgswhlopta","0.00000",59
"hpttgswhloptb",12.5,12.5
"hpttgswhlopta",177,59
"hpttgswhlopta",35.1944,35.1944
"hpttgswhloptb",1357,413
"hpttgswhloptb",826,118
"hpttgswhlopta","0.00000",59
"hpttgswhloptb","0.00000",15
"hpttgswhloptb",91.02,72.816
"hpttgswhloptb",118,118
"hpttgswhloptb",145,60
"hpttgswhlopta",333.74,262.1376
"hpttgswhlopta",200.244,72.816
"hpttgswhloptb",286.4096,70.3888
"hpttgswhlopta","0.00000",18.204
"hpttgswhloptb",24.9,24.9
"hpttgswhlopta",18.204,18.204
"hpttgswhlopta",143.2048,71.6024
"hpttgswhlopta",15,15
"hpttgswhlopta",262.1376,214.8072
"hpttgswhlopta",261,203
"hpttgswhloptb","0.00000",20.5965
"hpttgswhloptb","0.00000",15
"hpttgswhlopta",12.5,12.5
"hpttgswhloptb",20.5965,20.5965
"hpttgswhloptb",116,116
"hpttgswhloptb",12.5,12.5
"hpttgswhlopta","0.00000",30
"hpttgswhloptb",15,15
"hpttgswhlopta",15,30
"hpttgswhlopta",59,29
"hpttgswhloptb",35.1944,35.1944
"hpttgswhlopta",29,29
"hpttgswhloptb","0.00000",18.204
"hpttgswhlopta",413,295
"hpttgswhlopta",36.408,36.408
"hpttgswhlopta","0.00000",18.204
"hpttgswhlopta",20.5965,39.8199
"hpttgswhlopta",72.816,72.816
"hpttgswhlopta","0.00000",15
"hpttgswhlopta",429.6144,286.4096
"hpttgswhlopta","0.00000",321.604
"hpttgswhlopta",35.1944,35.1944
"hpttgswhlopta",15,15
"hpttgswhlopta",29,29
"hpttgswhloptb",49.9,49.9
"hpttgswhlopta",120,105
"hpttgswhlopta",944,118
"hpttgswhlopta","0.00000",20.5965
"hpttgswhlopta",41.193,41.193
"hpttgswhlopta",548.5472,501.2168
"hpttgswhlopta",275,157
"hpttgswhlopta",45,30
"hpttgswhloptb","0.00000",56.31104
"hpttgswhloptb","0.00000",35.1944
"hpttgswhloptb","0.00000",15
"hpttgswhlopta",236,236
"hpttgswhloptb","0.00000",65.25
"hpttgswhloptb",18.204,18.204
"hpttgswhloptb",70.3888,140.7776
"hpttgswhloptb",18.204,13.653
"hpttgswhloptb",70.3888,70.3888
"hpttgswhlopta",30.21864,30.21864
"hpttgswhloptb",18.204,18.204
"hpttgswhloptb",59,59
"hpttgswhlopta","0.00000",70.3888
"hpttgswhloptb",118,59
"hpttgswhlopta",36.408,36.408
"hpttgswhlopta",29,29
"hpttgswhloptb","0.00000",12.5
"hpttgswhlopta",54.612,18.204
"hpttgswhloptb",358.012,71.6024
"hpttgswhloptb",98,29
"hpttgswhlopta",119.4597,20.5965
"hpttgswhloptb",143.2048,71.6024
"hpttgswhloptb","0.00000",236
"hpttgswhlopta","0.00000",18.204
"hpttgswhloptb",29,29
"hpttgswhloptb",49.8,24.9
"hpttgswhloptb",12.5,12.5
"hpttgswhloptb",29,15
"hpttgswhloptb","0.00000",20.5965
"hpttgswhloptb",242,60
"hpttgswhlopta",29,59
"hpttgswhlopta",105.5832,35.1944
"hpttgswhloptb",59,59
"hpttgswhloptb",15,15
"hpttgswhlopta","0.00000",155
"hpttgswhloptb",716.024,286.4096
"hpttgswhloptb",29,29
"hpttgswhloptb","0.00000",29
"hpttgswhlopta",133.1907,93.3708
"hpttgswhlopta",249.17635,124.58818
"hpttgswhlopta","0.00000",18.204
"hpttgswhloptb",15,15
"hpttgswhlopta","0.00000",36.408
"hpttgswhlopta","0.00000",143.2048
"hpttgswhloptb",58,29
"hpttgswhloptb","0.00000",118
"hpttgswhlopta",147,108
"hpttgswhloptb","0.00000",15
"hpttgswhlopta",261,58
"hpttgswhlopta","0.00000",29
"hpttgswhlopta",59,59
"hpttgswhloptb","0.00000",39.8199
"hpttgswhlopta",59,59
"hpttgswhlopta",15,15
"hpttgswhlopta",214.8072,214.8072
"hpttgswhloptb",214.8072,214.8072
"hpttgswhlopta","0.00000",58
"hpttgswhloptb","0.00000",29
