"variation","mrr","first_mrr"
"28092020sumodaloptb",54,54
"28092020sumodalopta","0.00000",105
"28092020sumodalopta","0.00000",15
"28092020sumodaloptb",35.1944,35.1944
"28092020sumodaloptb",511,295
"28092020sumodaloptb",71.6024,71.6024
"28092020sumodalopta",58,58
"28092020sumodaloptb",24.9,12.5
"28092020sumodalopta","0.00000",87
"28092020sumodalopta",214.8072,143.2048
"28092020sumodaloptb",20.5965,20.5965
"28092020sumodalopta","0.00000",135
"28092020sumodalopta",98,59
"28092020sumodaloptb","0.00000",580
"28092020sumodalopta",30.34,15.17
"28092020sumodaloptb",118,177
"28092020sumodalopta",58,29
"28092020sumodaloptb","0.00000",59
"28092020sumodaloptb",15,15
"28092020sumodalopta",157,157
"28092020sumodaloptb","0.00000",15
"28092020sumodalopta",354,236
"28092020sumodalopta",15,15
"28092020sumodaloptb","0.00000",15
"28092020sumodaloptb",24.9,24.9
"28092020sumodaloptb",20.5965,20.5965
"28092020sumodaloptb",54.612,54.612
"28092020sumodalopta",648.1032,729.1161
"28092020sumodalopta","0.00000",45
"28092020sumodaloptb","0.00000",71.6024
"28092020sumodaloptb",143.2048,143.2048
"28092020sumodalopta",35.1944,35.1944
"28092020sumodaloptb",609.3,15
"28092020sumodaloptb","0.00000",30
"28092020sumodaloptb","0.00000",20.5965
"28092020sumodaloptb",36.408,18.204
"28092020sumodaloptb","0.00000",59
"28092020sumodalopta",15,15
"28092020sumodalopta","0.00000",15
"28092020sumodalopta","0.00000",29
"28092020sumodalopta","0.00000",30
"28092020sumodalopta","0.00000",236
"28092020sumodaloptb",29,29
"28092020sumodalopta",59,59
"28092020sumodaloptb",30.21864,30.21864
"28092020sumodaloptb",157,98
"28092020sumodalopta",59,59
"28092020sumodalopta","0.00000",91.02
"28092020sumodalopta","0.00000",15
"28092020sumodalopta",119.4597,79.6398
"28092020sumodaloptb",79.6398,79.6398
"28092020sumodalopta","0.00000",15
"28092020sumodaloptb",24.9,24.9
"28092020sumodaloptb","0.00000",145
"28092020sumodaloptb",20.5965,20.5965
"28092020sumodaloptb",15,15
"28092020sumodaloptb",58,29
"28092020sumodalopta",15,15
"28092020sumodalopta",116,29
"28092020sumodalopta",20.5965,20.5965
"28092020sumodalopta",35.1944,35.1944
"28092020sumodaloptb",30,22.5
"28092020sumodaloptb",160.31656,160.31656
"28092020sumodalopta",97,97
"28092020sumodalopta",145,145
"28092020sumodaloptb",236,177
"28092020sumodalopta",174,15
"28092020sumodalopta",424.8,424.8
"28092020sumodalopta",12.5,12.5
"28092020sumodalopta",15,15
"28092020sumodalopta",243.0387,243.0387
"28092020sumodaloptb",29,15
"28092020sumodaloptb","0.00000",29
"28092020sumodaloptb",18.204,18.204
"28092020sumodalopta",79.6398,79.6398
"28092020sumodalopta",15,30
"28092020sumodalopta",12.5,12.5
"28092020sumodaloptb",29,29
"28092020sumodalopta","0.00000",59
"28092020sumodaloptb",15,15
"28092020sumodaloptb",59,59
"28092020sumodalopta",49.9,15
"28092020sumodalopta",58,177
"28092020sumodalopta",116,145
"28092020sumodalopta",29,29
"28092020sumodaloptb","0.00000",15
"28092020sumodaloptb",29,29
"28092020sumodaloptb",15,15
"28092020sumodaloptb",199.6,199.6
"28092020sumodaloptb",18.204,18.204
"28092020sumodalopta",45,30
"28092020sumodaloptb",15,15
"28092020sumodaloptb","0.00000",15
"28092020sumodalopta",531,59
"28092020sumodalopta",354,295
"28092020sumodaloptb",87,87
"28092020sumodalopta",30,30
"28092020sumodaloptb","0.00000",15
"28092020sumodaloptb","0.00000",68
"28092020sumodaloptb",145,116
"28092020sumodaloptb","0.00000",59
"28092020sumodaloptb",39.8199,39.8199
"28092020sumodalopta","0.00000",15
"28092020sumodaloptb",15,15
"28092020sumodaloptb",29,29
"28092020sumodalopta",18.204,18.204
"28092020sumodaloptb","0.00000",15
"28092020sumodaloptb",118,118
"28092020sumodaloptb","0.00000",116
"28092020sumodaloptb",90,15
"28092020sumodaloptb",15,30
"28092020sumodalopta","0.00000",15
"28092020sumodaloptb",15,15
"28092020sumodalopta",49.8,49.8
"28092020sumodalopta",59,59
"28092020sumodaloptb",15,15
"28092020sumodalopta",41.193,41.193
"28092020sumodalopta",75,15
"28092020sumodalopta",134.5638,134.5638
"28092020sumodalopta",393,334
"28092020sumodaloptb",15,15
"28092020sumodalopta","0.00000",15
"28092020sumodaloptb",25,12.5
"28092020sumodaloptb",45,45
"28092020sumodaloptb",12.5,12.5
"28092020sumodaloptb",157,157
"28092020sumodalopta",164.772,123.579
"28092020sumodaloptb",243.0387,243.0387
"28092020sumodalopta","0.00000",59
"28092020sumodaloptb",59,29
"28092020sumodalopta",30,116
"28092020sumodalopta",15,15
"28092020sumodaloptb",29,29
"28092020sumodaloptb",15,15
"28092020sumodalopta","0.00000",71.6024
"28092020sumodaloptb",59,59
"28092020sumodalopta",59,59
"28092020sumodalopta","0.00000",35.1944
"28092020sumodaloptb","0.00000",29
"28092020sumodalopta",12.5,12.5
"28092020sumodalopta","0.00000",15
"28092020sumodaloptb",29,29
"28092020sumodaloptb",102.9825,41.193
